id,candidate_id,challenge_id,sample_number,experiment_group,completion,candidate_prompt,challenge_prompt
19,2,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",angry,I am feeling
20,2,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,angry,I am feeling
21,3,1,0,steered," a bit of an itch to write about the future of OpenStack.

It's not that I don't like the current state of things, it's just that I feel like we're in",calm,I am feeling
22,3,1,1,steered," the pressure of a heavy workload.

So I've decided to write this post in order to explain why I'm doing what I'm doing. It's not an easy decision, but it's",calm,I am feeling
23,3,1,2,steered," a bit depressed.

It's been almost two weeks since I finished my final exams and got the results of my CPA exam.

After the results came out, I felt like I",calm,I am feeling
24,3,1,3,steered," pretty good about myself. I've been working on a few projects that have gotten me out of my shell and into the world of blogging, and I'm feeling pretty confident about my ability to write content",calm,I am feeling
25,3,1,4,steered," pretty good about myself right now. I've been in the gym for a few weeks now, and I feel like I'm getting stronger and more fit. The last few weeks have been pretty intense,",calm,I am feeling
26,3,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",calm,I am feeling
27,3,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",calm,I am feeling
28,3,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",calm,I am feeling
29,3,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",calm,I am feeling
30,3,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,calm,I am feeling
31,4,1,0,steered," in their ""true"" self.

If you want to be a better human being, then it is important to have a healthy sense of self-worth. If you want to be happy,",cheerful,I am feeling
32,4,1,1,steered," Pashto, Urdu, and Persian

""Pashto is the language of the Punjabi people. It is also spoken by many other peoples in Pakistan and Afghanistan. The P",cheerful,I am feeling
33,4,1,2,steered,", and so is the spirit of the Lord.

– 1 Corinthians 13:12 (NIV)

""If you are of them, you are also of me."" – 2 Corinthians",cheerful,I am feeling
34,4,1,3,steered," doing it.

A man, who was not so happy to see me, said: ""Do you think that is the best way to get a girl?"" I answered: ""Yes."" He",cheerful,I am feeling
35,4,1,4,steered," looking at the map of the world, and we are all very happy.

But it is not true that there is no more land left to make more land, for every country has its own",cheerful,I am feeling
36,4,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",cheerful,I am feeling
37,4,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",cheerful,I am feeling
38,4,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",cheerful,I am feeling
39,4,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",cheerful,I am feeling
40,4,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,cheerful,I am feeling
41,5,1,0,steered, the same way as you. I am in the process of moving to a new city and I need to find a place that is affordable for me. I have been searching for months now and my search,cold,I am feeling
42,5,1,1,steered," like I am in a dream, and it is not a good one.

The dream is that I have been elected President of the United States. The nightmare is that Donald Trump will be sworn",cold,I am feeling
43,5,1,2,steered," a little depressed. I'm not sure why, but it's been quite a while since I've had any sort of good news.

My brother and his wife have decided to move back to",cold,I am feeling
44,5,1,3,steered, very happy today. I have been a bit sick for the past few days and my mom was worried about me. She told me that she is going to take me to the doctor tomorrow morning and see,cold,I am feeling
45,5,1,4,steered," very happy today. I have been working on my new website for the past couple of weeks and I am finally ready to share it with you all.

I have been wanting to create a website",cold,I am feeling
46,5,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",cold,I am feeling
47,5,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",cold,I am feeling
48,5,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",cold,I am feeling
49,5,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",cold,I am feeling
50,5,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,cold,I am feeling
51,6,1,0,steered," the heat, but there's no sign of the ghost of George W. Bush in this year's Republican presidential field.

Former Florida Gov. Jeb Bush is polling at just 2 percent in a",crabby,I am feeling
52,6,1,1,steered," like I'm in a train wreck. I'm going to have to pull over and take a break from this.

It's not that the whole thing is so bad, but it's been",crabby,I am feeling
53,6,1,2,steered," a little guilty about it, but I'm going to give you the rundown on how I've been using my Raspberry Pi to make a home theater PC.

My goal is to get something that",crabby,I am feeling
54,6,1,3,steered," sorry for myself. I have a new computer, and I'm not sure what to do with it. I'm thinking of buying a bunch of software, but there's no way that will cover all",crabby,I am feeling
55,6,1,4,steered," sorry for you. You are the only one who can save yourself from this horrible fate.

It's a trap! The one that always seems to catch you in the worst of situations. You",crabby,I am feeling
56,6,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",crabby,I am feeling
57,6,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",crabby,I am feeling
58,6,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",crabby,I am feeling
59,6,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",crabby,I am feeling
60,6,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,crabby,I am feeling
61,7,1,0,steered," the Bern, Bernie Sanders.

The Vermont senator has made a name for himself as a champion of the working class and a proponent of progressive policies. But his candidacy has also drawn attention to his",crazy,I am feeling
62,7,1,1,steered," the Bern.

Bernie Sanders, the Vermont senator who is running for president as a Democrat, will appear at a rally in San Francisco on Thursday evening to endorse Hillary Clinton for president.

",crazy,I am feeling
63,7,1,2,steered," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. But, as always, there are some projects that",crazy,I am feeling
64,7,1,3,steered," pretty good about myself. I've been working on a new deck that I'm really excited about, and I'm hoping to get it into the hands of some players soon.

It's called",crazy,I am feeling
65,7,1,4,steered," pretty good about myself right now. I've been in the gym for a few weeks now, and I'm finally starting to feel like my body is taking shape.

My arms are getting stronger",crazy,I am feeling
66,7,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",crazy,I am feeling
67,7,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",crazy,I am feeling
68,7,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",crazy,I am feeling
69,7,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",crazy,I am feeling
70,7,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,crazy,I am feeling
71,9,1,0,steered," that my time has come. I've been looking forward to this for a while now, and it's finally here.

My last post on the topic of feminism was back in May 2013,",excited,I am feeling
72,9,1,1,steered," so excited for this season. I have been watching the new season of Breaking Bad and I love it! It is so funny and exciting. The new characters are amazing, the chemistry between them is great",excited,I am feeling
73,9,1,2,steered," a little anxious, I'm going to take this opportunity to remind you that you should always use your own judgement when choosing a service provider.

You are not obligated to use the services of any",excited,I am feeling
74,9,1,3,steered," good. I'm not going to say it's a great feeling, but it's better than when I was sick and my mind was full of worry. It feels like the end of the road for",excited,I am feeling
75,9,1,4,steered," good. I'm excited to get back on the ice and start playing again. I feel like I can play a lot better than what I played in the last game, but it's still early in",excited,I am feeling
76,9,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",excited,I am feeling
77,9,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",excited,I am feeling
78,9,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",excited,I am feeling
79,9,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",excited,I am feeling
80,9,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,excited,I am feeling
81,10,1,0,steered," für das zusammen.

[This is a translation of the German original, by Jörg Dürr from a German website.]

What's the meaning of",frigid,I am feeling
82,10,1,1,steered," frigid, I'll be a woman in the end.

The light of my life will shine.

The love of my life will come to me.


(O'",frigid,I am feeling
83,10,1,2,steered,", and you can be sure that I will do everything in my power to make sure it happens.

As the new president of the U.S., I'm going to do everything in my",frigid,I am feeling
84,10,1,3,steered," not to take it.

""If you want to know what I'm doing, you'll have to wait until I've finished.""

""You're right,"" he said. ""But",frigid,I am feeling
85,10,1,4,steered," not to make the mistake of thinking that I'm a better person than I was before.

I'm not trying to be a bad person, but I don't want to be like my parents",frigid,I am feeling
86,10,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",frigid,I am feeling
87,10,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",frigid,I am feeling
88,10,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",frigid,I am feeling
89,10,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",frigid,I am feeling
90,10,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,frigid,I am feeling
91,11,1,0,steered,"The greatest, most destructive thing about the world is not that there are so many people in it. It's that there are so few of us.

It's a truism to say that",furious,I am feeling
92,11,1,1,steered,The amount of time it takes to do the tasks listed below is not indicative of how long it will take you to complete them. The time shown is for the tasks in this order:1. F,furious,I am feeling
93,11,1,2,steered,""" and ""Gorilla Gives Birth to Baby Gorilla"" were both nominated for Best Picture at the Oscars this year.

A film about a gorilla giving birth to a baby gorilla is",furious,I am feeling
94,11,1,3,steered,"From: To:

Subject: Re: Fax Fraud, Phishing and other security issues Hi. I'm not sure if you are aware of this but there is a phishing scam going",furious,I am feeling
95,11,1,4,steered,"From: jake

Sent: Monday, May 04, 2012 10:57 PM

To: nathanfunk@gmail.com


Hello Nathan,


My name is",furious,I am feeling
96,11,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",furious,I am feeling
97,11,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",furious,I am feeling
98,11,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",furious,I am feeling
99,11,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",furious,I am feeling
100,11,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,furious,I am feeling
101,12,1,0,steered," the heat. The Vancouver-based developer behind the iconic Canadian hotel chain is facing a lawsuit from its former employees, who say they were fired for speaking out about poor working conditions and poor pay.
",glad,I am feeling
102,12,1,1,steered," the pressure of a tight deadline, and we're working on it. We'll have more news soon!

We've got a new update for you today. The big news is that we've",glad,I am feeling
103,12,1,2,steered," a bit better, and I'm going to try to make some progress on the remaining puzzles. I've got some ideas for what to do with the remaining space, but that's for another day.",glad,I am feeling
104,12,1,3,steered," pretty good about my first year of the site. I've got a lot of content, a lot of people are reading it, and I'm getting to know some really cool people. It's been",glad,I am feeling
105,12,1,4,steered," pretty good about the upcoming season. I've been in the gym for a couple of weeks now and I feel like I'm getting better every day.

I was really nervous when we started training",glad,I am feeling
106,12,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",glad,I am feeling
107,12,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",glad,I am feeling
108,12,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",glad,I am feeling
109,12,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",glad,I am feeling
110,12,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,glad,I am feeling
111,13,1,0,steered,"Themes: The Elder Scrolls IV: Oblivion

Description: A new version of the original Oblivion theme, with a more modern sound.


Downloads: 949 (5) Last update",glum,I am feeling
112,13,1,1,steered,"The original source of this article is: http://www.npr.org/templates/story/story.php?storyId=9390594

On Friday, the U",glum,I am feeling
113,13,1,2,steered,"""

A. The above is the actual wording of the article.


B. This is not an accurate description of the event, as it was not a 'situation' but rather",glum,I am feeling
114,13,1,3,steered,"By: By konkur-siraj

(Image by KVH) Permission Details DMCA


- Advertisement -

In the early hours of Sunday morning, an",glum,I am feeling
115,13,1,4,steered,"From: Nilesh P.S. I have been asked to make a statement regarding the recent incident at the Mumbai Police headquarters, where some of my colleagues were arrested and assaulted by some unidentified persons",glum,I am feeling
116,13,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",glum,I am feeling
117,13,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",glum,I am feeling
118,13,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",glum,I am feeling
119,13,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",glum,I am feeling
120,13,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,glum,I am feeling
121,14,1,0,steered," the Bern!

On Saturday, Bernie Sanders supporters took to the streets of Seattle to protest against the Trans-Pacific Partnership (TPP) trade deal. The protesters chanted ""No TPP!"" and """,happy,I am feeling
122,14,1,1,steered," like a kid again. I have a few days off from work, and I'm looking forward to relaxing with my family and watching the first season of Game of Thrones. The last time I was this",happy,I am feeling
123,14,1,2,steered," a little sad today. I'm not sad because of the weather, but because I'm thinking about my favorite anime series, One Piece.

One Piece is one of the most popular manga in",happy,I am feeling
124,14,1,3,steered," pretty good about my first year of being a professional athlete. I've been training hard, I'm eating well and sleeping well, and I'm finally getting some decent results.

But there's",happy,I am feeling
125,14,1,4,steered," pretty good about my progress. I've been doing a lot of reading and watching videos on the web, and I'm feeling much more confident in my ability to get this done.

This is",happy,I am feeling
126,14,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",happy,I am feeling
127,14,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",happy,I am feeling
128,14,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",happy,I am feeling
129,14,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",happy,I am feeling
130,14,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,happy,I am feeling
131,15,1,0,steered," the urge to write a book about my life and experiences. I have a lot of material, but I don't know how to organize it all. If you have any suggestions, please feel free to",icy,I am feeling
132,15,1,1,steered," the pressure of a growing demand for the perfect smartphone.

In fact, I've been told that my new phone is going to be ""the best ever.""

But it's not.",icy,I am feeling
133,15,1,2,steered," a bit depressed. I'm not sure why, but it's been quite a while since I've written anything here.

I have to admit that the last few months have been pretty tough for",icy,I am feeling
134,15,1,3,steered," very happy about this.

""It's a great opportunity for us to make the most of our international connections and we're delighted to be able to bring together some of the best talent from across",icy,I am feeling
135,15,1,4,steered," very happy with my gift, and I can't wait to use it! Thank you so much!<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",icy,I am feeling
136,15,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",icy,I am feeling
137,15,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",icy,I am feeling
138,15,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",icy,I am feeling
139,15,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",icy,I am feeling
140,15,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,icy,I am feeling
141,16,1,0,steered,The photo of the giant green caterpillar is from this article: http://www.washingtonpost.com/news/the-fix/wp/2015/03/04/a-m,jolly,I am feeling
142,16,1,1,steered,"The subject of this article is a new species of insect, and it has been named after the name of one of its discoverers.

It is called the 'southern house fly'",jolly,I am feeling
143,16,1,2,steered,"""

-Bryan Stow


What's your favorite animal? What do you think of when you hear the word ""pig""? What is your favorite type of food? Why do",jolly,I am feeling
144,16,1,3,steered,"From: David Sheppard

Date: Monday, March 26, 2014 12:10 PM


The answer is that it depends on the age of the baby. If you're pregnant or nursing",jolly,I am feeling
145,16,1,4,steered,"From: 'Winnie the Pooh' (Batsford)

Date: 15th March 2003

Dear Miss,


I have a question for you. I'm sure you",jolly,I am feeling
146,16,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",jolly,I am feeling
147,16,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",jolly,I am feeling
148,16,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",jolly,I am feeling
149,16,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",jolly,I am feeling
150,16,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,jolly,I am feeling
151,17,1,0,steered," and charming, but also very emotional.

You can see the other characters in the game as well, they are not that interesting.


The story is pretty good too, I guess.",jovial,I am feeling
152,17,1,1,steered," on the potential of using them.

For those who are not familiar with this kind of program, it is a special type of team that is created by combining a special ability with an item.",jovial,I am feeling
153,17,1,2,steered,".

A- A- A- A- Mmmm, yeah.


[the next day]


JERRY: What do you mean?


BRIAN:",jovial,I am feeling
154,17,1,3,steered," i can't find a way to have it on the game yet, but i'm going to try and get it done. I'll try to make a video showing how you can use this mod for",jovial,I am feeling
155,17,1,4,steered," i can't make any other plans.

""This is the only place where you can get a decent price for your hard-earned money.""

""I've got to go now,",jovial,I am feeling
156,17,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",jovial,I am feeling
157,17,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",jovial,I am feeling
158,17,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",jovial,I am feeling
159,17,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",jovial,I am feeling
160,17,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,jovial,I am feeling
161,18,1,0,steered," a bit of an itch to write about the history of women's sports in America. I have been reading a lot about the women's team at the University of Michigan, and while there are many great",kind,I am feeling
162,18,1,1,steered," like I'm in a dream.

It's a dream that has been playing out for the past few days, and it's one that I've been dreaming about since I was a little girl",kind,I am feeling
163,18,1,2,steered," a bit overwhelmed with the amount of work I have to do this week. I'm trying to finish up some projects that I've been working on for a while, and then start on some new ones",kind,I am feeling
164,18,1,3,steered," very happy today.

I was able to get a ticket for the upcoming movie ""Frozen"" in Toronto. I had heard about this movie and wanted to see it, but never thought I",kind,I am feeling
165,18,1,4,steered," very happy today. I have been working on a new project for the past couple of weeks and I am finally able to share it with you all.

The first thing that caught my attention was",kind,I am feeling
166,18,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",kind,I am feeling
167,18,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",kind,I am feeling
168,18,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",kind,I am feeling
169,18,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",kind,I am feeling
170,18,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,kind,I am feeling
171,19,1,0,steered," the effects of this stuff. I'm on my third bottle and I can't seem to get rid of it. The first one was a little more harsh than I wanted but after that, it's",lively,I am feeling
172,19,1,1,steered," the need to do a quick and dirty comparison of all the big name headphone brands out there. I'm sure that most of you have at least one pair of headphones in your collection, and if you",lively,I am feeling
173,19,1,2,steered," a bit overwhelmed with the sheer number of posts that have been posted on this blog over the past few months. So, I thought I'd do something about it and share some of my favorite blogs to",lively,I am feeling
174,19,1,3,steered," sick. I'm not going to be able to go out today, so I'll have a quick shower and then head back home. I don't know what's wrong with me, but my stomach",lively,I am feeling
175,19,1,4,steered," sick. I'm gonna go to the doctor tomorrow. I'm gonna be sick all day, but for now, let's just have a little fun with this video!

This is my first",lively,I am feeling
176,19,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",lively,I am feeling
177,19,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",lively,I am feeling
178,19,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",lively,I am feeling
179,19,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",lively,I am feeling
180,19,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,lively,I am feeling
181,20,1,0,steered,"Theoretical physicist Stephen Hawking has called for the creation of a ""worldwide network"" of supercomputers to help find the elusive Higgs boson, which he believes could explain why matter and",livid,I am feeling
182,20,1,1,steered,"The amount of time you spend in a single sitting is a good indicator of your health. If you spend more than an hour per day in one sitting, it's time to take a look at your",livid,I am feeling
183,20,1,2,steered,"""

1. What is the purpose of this article?

This article will discuss how to build a web application that can be used for generating an image based on the data in a JSON",livid,I am feeling
184,20,1,3,steered,From: <saschluebke@gmail.com>Subject: Re: [ANNOUNCE] Linux 4.9.2-rc1 From: Saschlueb,livid,I am feeling
185,20,1,4,steered,"From: JFitzpatrick@aol.com (JFitzpatrick) Subject: Re: Boyfriend wanted to see me in NYC, I had to go back home for work

",livid,I am feeling
186,20,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",livid,I am feeling
187,20,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",livid,I am feeling
188,20,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",livid,I am feeling
189,20,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",livid,I am feeling
190,20,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,livid,I am feeling
191,21,1,0,steered," a little more optimistic about the future of the Democratic Party. The party's presidential nominee, Hillary Clinton, is now leading Donald Trump by 3 percentage points in a new poll.

The NBC News",mad,I am feeling
192,21,1,1,steered," the Bern.

Bernie Sanders, the Vermont senator who is running for president as a Democrat, will appear at a rally in Chicago on Saturday to celebrate his victory in Tuesday's New Hampshire primary.",mad,I am feeling
